symbol,direction,entry_price,exit_price,stop_loss,take_profit,pnl_usd,pnl_pips,close_reason,lot_size,confidence,model_used,timestamp
NZDUSD,sell,0.57364,0.57306,0.58164,0.56664,0.5800000000000249,5.800000000000249,session_end,0.01,0.6,deepseek/deepseek-v4-flash,2025-10-20T07:00:00+00:00
GBPJPY,buy,202.561,202.361,202.361,202.761,-2.0000000000001705,-20.000000000001705,stop_loss,0.01,0.35,deepseek/deepseek-v4-flash,2025-10-20T07:00:00+00:00
EURUSD,sell,1.16389,1.16539,1.16539,1.1623900000000003,-2.0,-14.999999999998348,stop_loss,0.013333333333334802,0.5,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDJPY,buy,150.654,151.05400000000003,150.25400000000002,151.05400000000003,4.000000000000341,40.00000000000341,take_profit,0.01,0.4,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
AUDUSD,hold,0.65082,0.65047,0.6533199999999999,0.64682,0.34999999999996145,3.4999999999996145,session_end,0.01,0.469,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDJPY,buy,150.654,151.047,150.304,151.154,3.930000000000007,39.30000000000007,session_end,0.01,0.55,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDCAD,buy,1.40331,1.40495,1.39981,1.40831,1.6399999999998638,16.399999999998638,session_end,0.01,0.55,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDCHF,buy,0.79191,0.79315,0.79041,0.7941600000000001,1.6533333333332958,12.400000000000189,session_end,0.013333333333332828,0.55,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDCAD,buy,1.40331,1.40495,1.4008099999999999,1.40681,1.6399999999998638,16.399999999998638,session_end,0.01,0.6,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDCHF,buy,0.79191,0.79315,0.7889099999999999,0.79591,1.2400000000000189,12.400000000000189,session_end,0.01,0.5,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
GBPUSD,sell,1.34024,1.33928,1.3427400000000003,1.3372400000000002,0.9600000000000719,9.600000000000719,session_end,0.01,0.5,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
EURUSD,sell,1.16389,1.16344,1.1658900000000003,1.1613900000000001,0.45000000000006146,4.500000000000615,session_end,0.01,0.5,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDJPY,buy,150.654,150.954,150.42899999999997,150.954,3.0000000000001137,30.000000000001137,take_profit,0.01,0.7,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
EURGBP,sell,0.8678,0.86864,0.8703,0.8658,-0.8399999999999519,-8.399999999999519,session_end,0.01,0.35,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
EURUSD,sell,1.16346,1.16196,1.1649599999999998,1.16196,2.0,14.999999999998348,take_profit,0.013333333333334802,0.35,deepseek/deepseek-v4-flash,2025-10-21T07:00:00+00:00
AUDUSD,sell,0.65082,0.65047,0.6533199999999999,0.6478199999999998,0.34999999999996145,3.4999999999996145,session_end,0.01,0.67,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
USDJPY,buy,150.654,150.954,150.42899999999997,150.954,3.0000000000001137,30.000000000001137,take_profit,0.01,0.5,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
AUDUSD,sell,0.65082,0.65162,0.65162,0.64932,-2.0,-8.00000000000023,stop_loss,0.024999999999999287,0.67,deepseek/deepseek-v4-flash,2025-10-21T00:00:00+00:00
EURUSD,sell,1.16346,1.16202,1.16546,1.16046,1.4399999999998858,14.399999999998858,session_end,0.01,0.35,deepseek/deepseek-v4-flash,2025-10-21T07:00:00+00:00
USDJPY,buy,151.046,151.296,150.871,151.296,2.8571428571431357,25.0,take_profit,0.011428571428572542,0.67,deepseek/deepseek-v4-flash,2025-10-21T07:00:00+00:00
USDJPY,buy,151.046,151.196,150.93099999999998,151.196,2.6086956521738056,15.000000000000568,take_profit,0.017391304347824713,0.67,deepseek/deepseek-v4-flash,2025-10-21T07:00:00+00:00
USDCAD,sell,1.40496,1.40546,1.4069600000000002,1.4029600000000002,-0.49999999999994493,-4.999999999999449,session_end,0.01,0.5,deepseek/deepseek-v4-flash,2025-10-21T07:00:00+00:00
USDCHF,hold,0.79315,0.7945,0.7961499999999999,0.78915,-1.3499999999999623,-13.499999999999623,session_end,0.01,0.469,deepseek/deepseek-v4-flash,2025-10-21T07:00:00+00:00
USDCAD,sell,1.40496,1.40546,1.4074600000000002,1.40246,-0.49999999999994493,-4.999999999999449,session_end,0.01,0.5,deepseek/deepseek-v4-flash,2025-10-21T07:00:00+00:00
